KD_OBAT,NAMA,Category,Subcategory,BrandGroup,Manufacturer
AI-0205,Carpiaton 100 mg,General Medicine,Tablet,Carpiaton,Prat
AI-0206,Cartylo 80 mg,General Medicine,Tablet,Cartylo,Kifa
AI-0207,Casodex 50 mg,General Medicine,Tablet,Casodex,Asca
AI-0208,Catapres 0,Injectables & Hospital Care,Vial/Injection,Catapres,Boeh
AI-0209,Cavit D3 komb,Vitamins & Supplements,Tablet,Cavit,Merc
AI-0210,Cazetin 100.000 IU,General Medicine,Bottle/Liquid,Cazetin,Ifar
AI-0211,Cedocard 10 mg/ml,Injectables & Hospital Care,Vial/Injection,Cedocard,Dava
AI-0212,Cefadroxil 125 mg/5ml,Antibiotics & Anti-infectives,Bottle/Liquid,Cefadroxil,Hexp
AI-0213,Cefadroxil 250 mg/5ml,Antibiotics & Anti-infectives,Bottle/Liquid,Cefadroxil,Soho
AI-0214,Cefadroxil 500 mg,Antibiotics & Anti-infectives,Other,Cefadroxil,Hexp
AI-0215,Cefazolin 1 gr/vial,Antibiotics & Anti-infectives,Vial/Injection,Cefazolin,Dexa
AI-0216,Cefixime 100 mg,Antibiotics & Anti-infectives,Other,Cefixime,Hexp
AI-0217,Cefixime 50 mg,Antibiotics & Anti-infectives,Other,Cefixime,Kifa
AI-0218,Cefixime OGB 100 mg-SALAH,Antibiotics & Anti-infectives,Other,Cefixime,Dexa
AI-0219,Cefixime OGB 100 mg/5ml,Antibiotics & Anti-infectives,Bottle/Liquid,Cefixime,Infa
AI-0220,Cefotaxime 1000 mg/vi,Antibiotics & Anti-infectives,Vial/Injection,Cefotaxime,Hexp
AI-0221,Ceftazidime 1000 mg/vi,Antibiotics & Anti-infectives,Vial/Injection,Ceftazidime,Nove
AI-0222,Ceftriaxone 1000 mg/vi,Antibiotics & Anti-infectives,Vial/Injection,Ceftriaxone,Bern
AI-0223,Cellcept 500 mg,General Medicine,Tablet,Cellcept,Roch
AI-0224,Cendo Catarlent 52,General Medicine,Bottle/Liquid,Cendo,Cend
AI-0225,Cendo Fradex 5 ml,General Medicine,Bottle/Liquid,Cendo,Cend
AI-0226,Cendo Lyteers 15 ml,General Medicine,Other,Cendo,btl
AI-0227,Cendo Mycos 0,General Medicine,Other,Cendo,Cend
AI-0228,Cendo Mycos 15 mg/ml,General Medicine,Bottle/Liquid,Cendo,Cend
AI-0229,Cendo Mycos 3,General Medicine,Other,Cendo,"Klora,"
AI-0230,Cendo Tropin 0,General Medicine,Other,Cendo,Unknown
AI-0231,Cendo xitrol 0.6 ml,General Medicine,Other,Cendo,tube
AI-0232,Cepezet 100 mg,General Medicine,Tablet,Cepezet,Mers
AI-0233,Cepezet 25 mg/5 ml,Injectables & Hospital Care,Vial/Injection,Cepezet,Mers
AI-0234,Cephalexin 500 mg,General Medicine,Other,Cephalexin,Infa
AI-0235,Ceremax IV 10 mg/50 m,General Medicine,Bottle/Liquid,Ceremax,Dank
AI-0236,Certican 0,General Medicine,Tablet,Certican,Nova
AI-0237,Certican 0,General Medicine,Tablet,Certican,Nova
AI-0238,Cetadop 40 mg/ml,Injectables & Hospital Care,Vial/Injection,Cetadop,Ethi
AI-0239,Ceteron 4 mg,General Medicine,Tablet,Ceteron,Comb
AI-0240,Ceteron 4 mg/2 ml,Injectables & Hospital Care,Vial/Injection,Ceteron,Comb
AI-0241,Cetirizine 10 mg,Respiratory & Allergy,Tablet,Cetirizine,Hexp
AI-0242,Cetirizine 10 mg/mL,Respiratory & Allergy,Bottle/Liquid,Cetirizine,Infa
AI-0243,Cetirizine 5mg/5ml,Respiratory & Allergy,Bottle/Liquid,Cetirizine,Infa
AI-0244,Cetirizine HCl 5 mg/5 ml-SALAH,Respiratory & Allergy,Bottle/Liquid,Cetirizine,Infa
AI-0245,Cevadil 5 mg,General Medicine,Tablet,Cevadil,Glob
AI-0246,Chloracol 125 mg/5 m,General Medicine,Bottle/Liquid,Chloracol,Ifar
AI-0247,Chloramex 1000 mg/ml,Injectables & Hospital Care,Vial/Injection,Chloramex,Acta
AI-0248,Chloramfecort 45 mg,General Medicine,Other,Chloramfecort,Kifa
AI-0249,Chloramphenicol 3%,Injectables & Hospital Care,Bottle/Liquid,Chloramphenicol,Erla
AI-0250,Chlorbiotic 1000 mg/ml,Injectables & Hospital Care,Vial/Injection,Chlorbiotic,Bern
AI-0251,Chlorpheniramine 4 mg,General Medicine,Tablet,Chlorpheniramine,Mari
AI-0252,Cholespar 10 mg,General Medicine,Tablet,Cholespar,Phar
AI-0253,Cilostazol 100 mg,General Medicine,Tablet,Cilostazol,Bern
AI-0254,Ciprofloxacine 2 mg/ml,Antibiotics & Anti-infectives,Bottle/Liquid,Ciprofloxacine,Hexp
AI-0255,Ciprofloxacine 500 mg,Antibiotics & Anti-infectives,Tablet,Ciprofloxacine,Hexp
AI-0256,Cisplatin 10 mg/vial,Oncology & Specialty,Vial/Injection,Cisplatin,Kalb
AI-0257,Cisplatin 50 mg/vial,Oncology & Specialty,Vial/Injection,Cisplatin,Kalb
AI-0258,Cisteen 10 mg/vial,Injectables & Hospital Care,Vial/Injection,Cisteen,Kifa
AI-0259,Cisteen 50 mg/vial,Injectables & Hospital Care,Vial/Injection,Cisteen,Kifa
AI-0260,Citicholin 250 mg/2ml,Injectables & Hospital Care,Vial/Injection,Citicholin,Bern
AI-0261,Citicholin 500 mg,General Medicine,Tablet,Citicholin,Infa
AI-0262,Cliad 7,General Medicine,Tablet,Cliad,Intr
AI-0263,Clindamycin 150 mg,Antibiotics & Anti-infectives,Other,Clindamycin,Infa
AI-0264,Clindamycin 300 mg,Antibiotics & Anti-infectives,Other,Clindamycin,Infa
AI-0265,Clinimix 1000 ml (SALAH),General Medicine,Bottle/Liquid,Clinimix,Kalb
AI-0266,Clinimix N9G15E 1000 ml,General Medicine,Other,Clinimix,btl
AI-0267,Clinoma 300 mg,General Medicine,Other,Clinoma,Rama
AI-0268,Clofritis 10 mg,General Medicine,Tablet,Clofritis,Mers
AI-0269,Clonex 250 mg,General Medicine,Other,Clonex,Cors
AI-0270,Clonex 500 mg,General Medicine,Other,Clonex,Cors
AI-0271,Clonidine 0,General Medicine,Tablet,Clonidine,Infa
AI-0272,Clopidogrel 75 mg,Cardiovascular,Tablet,Clopidogrel,Hexp
AI-0273,Clopine 100 mg,General Medicine,Tablet,Clopine,Ikap
AI-0274,Clopisan 75 mg,General Medicine,Tablet,Clopisan,Sand
AI-0275,Clopramel 5 mg/ml,Injectables & Hospital Care,Vial/Injection,Clopramel,Nove
AI-0276,Clorilex 100 mg,General Medicine,Tablet,Clorilex,Mers
AI-0277,Clozer 100 mg,General Medicine,Tablet,Clozer,Dexa
AI-0278,CMC 2%,General Medicine,Bottle/Liquid,Cmc,Cend
AI-0279,Co amoxiclav 625 mg,Antibiotics & Anti-infectives,Tablet,Co,Infa
AI-0280,Coartem 140 mg,General Medicine,Tablet,Coartem,Nova
AI-0281,Codein 10 mg,General Medicine,Tablet,Codein,Kifa
AI-0282,Codein 15 mg,General Medicine,Tablet,Codein,Kifa
AI-0283,Codein 20 mg,General Medicine,Tablet,Codein,Kifa
AI-0284,Coditam 530 mg ,General Medicine,Tablet,Coditam,Kifa
AI-0285,Coditam komb 530 m,General Medicine,Tablet,Coditam,Kifa
AI-0286,Colfin 626 mg,General Medicine,Other,Colfin,"G,"
AI-0287,Colfin kap komb,General Medicine,Other,Colfin,"G,"
AI-0288,Colsancetine 1000 mg/ml,Injectables & Hospital Care,Vial/Injection,Colsancetine,Sanb
AI-0289,Comafusin Hepar 500 ml,General Medicine,Other,Comafusin,","
AI-0290,Combiflex Peri 1000 ml,General Medicine,Bottle/Liquid,Combiflex,Bbmi
AI-0291,Combivent-UDV 2,Injectables & Hospital Care,Vial/Injection,Combivent,Boeh
AI-0292,Concor 2,Oncology & Specialty,Tablet,Concor,Merc
AI-0293,Concor 5 mg,Oncology & Specialty,Tablet,Concor,Merc
AI-0294,Convers 2%,General Medicine,Bottle/Liquid,Convers,Cend
AI-0295,Copegus 200 mg,General Medicine,Tablet,Copegus,Roch
AI-0296,Cordarone 150 mg/3 m,Injectables & Hospital Care,Vial/Injection,Cordarone,Sano
AI-0297,Cordila SR 180 mg,General Medicine,Tablet,Cordila,Dexa
AI-0298,Cosmofer 100 mg/2 m,Injectables & Hospital Care,Vial/Injection,Cosmofer,Prat
AI-0299,Cosmofer 101 mg/2 m,Injectables & Hospital Care,Vial/Injection,Cosmofer,Prat
AI-0300,Courage 20 mg,General Medicine,Other,Courage,Soho
AI-0301,CPG 75 mg,General Medicine,Tablet,Cpg,Kalb
AI-0302,Cronase 125 mg,General Medicine,Tablet,Cronase,Glob
AI-0303,Cryptal 200 mg/100,Injectables & Hospital Care,Vial/Injection,Cryptal,Prat
AI-0304,CTM 4 mg,General Medicine,Tablet,Ctm,Glob
AI-0305,Curacil 250 mg/via,Injectables & Hospital Care,Vial/Injection,Curacil,Kalb
AI-0306,Curacil 500 mg/via,Injectables & Hospital Care,Vial/Injection,Curacil,Kalb
AI-0307,Curcuma 200 mg,General Medicine,Tablet,Curcuma,Soho
AI-0308,Curviplex komb,General Medicine,Other,Curviplex,B6
AI-0309,Custodiol 10 mg,General Medicine,Other,Custodiol,Apex
AI-0310,Cyclophosphamide 1000 mg/vi,Oncology & Specialty,Vial/Injection,Cyclophosphamide,Kalb
AI-0311,Cyclophosphamide 50 mg,Oncology & Specialty,Tablet,Cyclophosphamide,Kalb
AI-0312,Cyclovid 1000 mg/vi,Injectables & Hospital Care,Vial/Injection,Cyclovid,Nove
AI-0313,Cyclovid 200 mg/via,Injectables & Hospital Care,Vial/Injection,Cyclovid,Nove
AI-0314,Cyclovid 500 mg/via,Injectables & Hospital Care,Vial/Injection,Cyclovid,Nove
AI-0315,Cytodrox 500 mg,General Medicine,Tablet,Cytodrox,Comb
AI-0316,Cytogem 1000 mg/vial,Oncology & Specialty,Vial/Injection,Cytogem,Ferr
AI-0317,Cytogem 200 mg/vial,Oncology & Specialty,Vial/Injection,Cytogem,Ferr
AI-0318,Dacarbazin Medac 200 mg,Injectables & Hospital Care,Vial/Injection,Dacarbazin,Dipa
AI-0319,Dacin 150 mg,General Medicine,Other,Dacin,Mers
AI-0320,Dacin 300 mg,General Medicine,Other,Dacin,Mers
AI-0321,Danasone 0,General Medicine,Tablet,Danasone,Hexp
AI-0322,Daryant-Tulle 1% 5x5,General Medicine,Other,Daryant,Dava
AI-0323,Daryant-Tulle 1% 10x10,General Medicine,Other,Daryant,Dava
